"id","name","broader","narrower","used_for","related"
"XX1697","Abminga (SA Central Australia SG53-10)","Abminga map area (SA Central Australia SG53-10)","","",""
"XX1698","Bloods Creek (SA Central Australia SG53-10)","Abminga map area (SA Central Australia SG53-10)","","",""
"XX1699","Eringa (SA Central Australia SG53-10)","Abminga map area (SA Central Australia SG53-10)","","",""
"XX1700","Lambina (SA Central Australia SG53-10)","Abminga map area (SA Central Australia SG53-10)","","",""
"XX1701","Tieyon (SA Central Australia SG53-10)","Abminga map area (SA Central Australia SG53-10)","","",""
"XX2292","Wellclose (SW Qld SG55-05)","Adavale map area (SW Qld SG55-05)","","",""
"XX125719","Eden Hills (Adelaide SA SI54-09)","Adelaide (SE SA SI54-09)","","",""
"XX1937","Adelaide (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX1938","Balaklava (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX1939","Barossa (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX1940","Gawler (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX1941","Hamley Bridge (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX1942","Macclesfield (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX1943","McLaren Vale (SE SA SI54-13)","Adelaide map area (SE SA SI54-09)","","",""
"XX1944","Mannum (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX1945","Marne River / Eden Valley (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","Eden Springs (SE SA SI54-09);Eden Valley (SE SA SI54-09)",""
"XX1946","Mount Lofty Ranges (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","Lofty Ranges (SE SA SI54-09)",""
"XX1947","Noarlunga (SE SA SI54-13)","Adelaide map area (SE SA SI54-09)","","",""
"XX1948","Nuriootpa (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX1949","Onkaparinga River (SE SA SI54-13)","Adelaide map area (SE SA SI54-09)","","",""
"XX1950","South Para River (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","Para River, South (SE SA SI54-09)",""
"XX1951","William Creek (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX71905","Patawalonga Creek (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX76797","Edinburgh (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX80090","Hindmarsh (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX80563","Port Adelaide (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX90591","Taperoo (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX92044","Burnside (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX96001","Gulf St Vincent (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","Gulf Saint Vincent (SE SA SI54-09)",""
"XX105261","Reynella (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX105263","Warriapendi (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX105264","Kaurna Plains (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX115046","Riverton (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX115122","Kapunda (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX120699","Piltawodli (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX149215","Warriparinga (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX153136","Mount McKenzie (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX153137","Saunders Creek (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX153138","Mount Pleasant (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX153139","Tungkillo (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX153143","Mount Beevor (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX153144","Horsnell Gully (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX153308","Gillman (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX153623","Wood Point (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX163820","Tanunda (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX165125","Metco (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX167520","Halbury (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX169176","Flaxman Valley (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX171773","Walkerville (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX174163","Tusmore (Adelaide SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX174172","Glenelg (SE Adelade SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX176545","South Hummocks (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX177245","Mitcham (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX178596","Semaphore (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX183864","West Lakes (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX183865","Hazelwood Park (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX183866","Ferguson Conservation Park (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX183867","Morialta Falls (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX186994","River Torrens/Karrawirra Parri (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX187252","Brookfield Conservation Park (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX187257","Ridley Conservation Park (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX187259","Swan Reach Conservation Park (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX188284","Modbury Heights (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX188285","Parkside (SE SA SI54-09)","Adelaide map area (SE SA SI54-09)","","",""
"XX1304","Kalbarri National Park (WA Gascoyne / Murchison SG50-13)","Ajana map area (WA Gascoyne / Murchison SG50-13)","","",""
"XX140295","Kalbarri (WA Gascoyne / Murchison SG50-13)","Ajana map area (WA Gascoyne / Murchison SG50-13)","","",""
"XX166967","Murchison House Station (WA Gascoyne / Murchison SG50-13)","Ajana map area (WA Gascoyne / Murchison SG50-13)","","Bulimaya (WA Gascoyne / Murchison SG50-13);Purlimaya (WA Gascoyne / Murchison SG50-13);Booleemaia (WA Gascoyne / Murchison SG50-13)",""
"XX166978","Ajana / Mount View Station (WA Gascoyne / Murchison SG50-13)","Ajana map area (WA Gascoyne / Murchison SG50-13)","","Mount View Station (WA Gascoyne / Murchison SG50-13)",""
"XX180196","Hardabut Soak (WA Gascoyne / Murchison SG50-13)","Ajana map area (WA Gascoyne / Murchison SG50-13)","","",""
"XX180197","Junga Dam (WA Gascoyne / Murchison SG50-13)","Ajana map area (WA Gascoyne / Murchison SG50-13)","","",""
"XX180198","Swan Rock (WA Gascoyne / Murchison SG50-13)","Ajana map area (WA Gascoyne / Murchison SG50-13)","","",""
"XX180199","Powders Cave (WA Gascoyne / Murchison SG50-13)","Ajana map area (WA Gascoyne / Murchison SG50-13)","","",""
"XX180200","Nunginjay Springs Rockshelter (WA Gascoyne / Murchison SG50-13)","Ajana map area (WA Gascoyne / Murchison SG50-13)","","",""
"XX1691","Kaltjiti / Fregon (SA Central Australia SG53-09)","Alberga map area (SA Central Australia SG53-09)","","Shirley Well (SA Central Australia SG53-09);Fregon (SA Central Australia SG53-09);Aparawatjata (SA Central Australia SG53-09)",""
"XX1692","Inyarinyi / Kenmore Park (SA Central Australia SG53-09)","Alberga map area (SA Central Australia SG53-09)","","Kenmore Park (SA Central Australia SG53-09);Yunyarinyi (SA Central Australia SG53-09)",""
"XX1693","Itjinpiri (SA Central Australia SG53-09)","Alberga map area (SA Central Australia SG53-09)","","",""
"XX1694","Iwantja / Indulkana / Granite Downs (SA Central Australia SG53-09)","Alberga map area (SA Central Australia SG53-09)","","Indulkana (SA Central Australia SG53-09);Granite Downs (SA Central Australia SG53-09)",""
"XX1695","Pukatja / Ernabella (SA Central Australia SG53-09)","Alberga map area (SA Central Australia SG53-09)","","Ernabella (SA Central Australia SG53-09)",""
"XX76859","De Rose Hill (SA Central Australia SG53-09)","Alberga map area (SA Central Australia SG53-09)","","",""
"XX94749","Mount Chandler (SA Central Australia SG53-09)","Alberga map area (SA Central Australia SG53-09)","","Chandler, Mount (SA Central Australia SG53-09)",""
"XX97481","Turkey Bore (SA Central Australia SG53-09)","Alberga map area (SA Central Australia SG53-09)","","",""
"XX123474","Irintata (SA Central Australia SG53-09)","Alberga map area (SA Central Australia SG53-09)","","",""
"XX132338","Marryat Creek (SA Central Australia SG53-09)","Alberga map area (SA Central Australia SG53-09)","","",""
"XX149986","Balfours Well (SA Central Australia SG53-09)","Alberga map area (SA Central Australia SG53-09)","","",""
"XX160978","Umuwa (SA Central Australia SG53-09)","Alberga map area (SA Central Australia SG53-09)","","",""
"XX765","Angula (South Central NT SF53-10)","Alcoota map area (South Central NT SF53-10)","","",""
"XX766","Atitjere / Harts Range (South Central NT SF53-10, SF53-14)","Alcoota map area (South Central NT SF53-10)","","Harts Range (South Central NT SF53-10, SF53-14)",""
"XX767","Bushy Park (South Central NT SF53-10)","Alcoota map area (South Central NT SF53-10)","","",""
"XX768","Connor Well (South Central NT SF53-10)","Alcoota map area (South Central NT SF53-10)","","",""
"XX769","Engawala / Alcoota (South Central NT SF53-10)","Alcoota map area (South Central NT SF53-10)","","Alcoota (South Central NT SF53-10)",""
"XX770","Mount Skinner (South Central NT SF53-10)","Alcoota map area (South Central NT SF53-10)","","Skinner, Mount (South Central NT SF53-10)",""
"XX771","Ross River (South Central NT SF53-10)","Alcoota map area (South Central NT SF53-10)","","",""
"XX772","Ruby Gap (South Central NT SF53-10)","Alcoota map area (South Central NT SF53-10)","","",""
"XX773","Utopia (South Central NT SF53-10)","Alcoota map area (South Central NT SF53-10)","","",""
"XX774","Waite River / Waite Creek (South Central NT SF53-10)","Alcoota map area (South Central NT SF53-10)","","",""
"XX775","Woolla Downs (South Central NT SF53-10)","Alcoota map area (South Central NT SF53-10)","","",""
"XX92079","Aniltji / Atneltyey (South Central NT SF53-10)","Alcoota map area (South Central NT SF53-10)","","Atneltyey (South Central NT SF 53-10)",""
"XX92080","Arlparra (South Central NT SF53-10)","Alcoota map area (South Central NT SF53-10)","","Ahalper (South Central NT SF53-10)",""
"XX92081","Apungalindum (South Central NT SF53-10)","Alcoota map area (South Central NT SF53-10)","","Pungalindum (South Central NT SF53-10);Apengelayntem (South Central NT SF53-10)",""
"XX98046","Akaye / Mulga Bore (South Central NT SF53-10)","Alcoota map area (South Central NT SF53-10)","","Mulga Bore (South Central NT SF53-10)",""
"XX105789","Delmore Downs (South Central NT SF53-10)","Alcoota map area (South Central NT SF53-10)","","",""
"XX112333","Alhalkere (South Central NT SF53-10)","Alcoota map area (South Central NT SF53-10)","","",""
"XX151003","Camel Camp (South Central NT SF53-10)","Alcoota map area (South Central NT SF53-10)","","",""
"XX824","Mparntwe / Alice Springs (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","Alice Springs (South Central NT SF53-14)",""
"XX825","Amoonguna (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX826","Anthelke Ulpaye / Charles Creek (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","Charles Creek (South Central NT SF53-14)",""
"XX827","Arltunga (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX828","Atherrke / Jessie Gap (Alice Springs South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","Jessie Gap (Alice Springs South Central NT SF53-14)",""
"XX829","Anthwerrke / Underga / Emily Gap (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","Emily Gap (South Central NT SF53-14)",""
"XX830","Ewaninga (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX831","Ntaripe / Heavitree Gap (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","Heavitree Gap (South Central NT SF53-14)",""
"XX832","Iwupataka / Jay Creek (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","Jay Creek (South Central NT SF53-14)",""
"XX833","Kuyunba / Pine Gap (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","Pine Gap (South Central NT SF53-14)",""
"XX834","Loves Creek (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX835","Mount Gillen (Alice Springs South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","Gillen, Mount (Alice Springs South Central NT SF53-14)",""
"XX836","Mount Riddock (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","Riddock, Mount (South Central NT SF53-14)",""
"XX837","Ndhala Gorge (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX838","Simpson Gap (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX839","Todd River (South Central NT SF53-14, SG53-02, SG53-03)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX840","Undoolya / Ndolya (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","Ndolya (South Central NT SF53-14)",""
"XX841","Yirara (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX45378","Irlpme / Bond Springs (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","Bond Springs (South Central NT SF53-14)",""
"XX45490","Pine Valley (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX60052","Yambah (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX63773","Mpweringe-Arnapipe (NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX84989","Pantharrpilenhe (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX87961","Black Tank (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX102142","Tangentyere (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX102143","Mpwetyere Camp (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX106298","Athenge Lhere / Mount Everard (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","Mount Everard (South Central NT SF53-14)",""
"XX110267","Atnarpa (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX115081","Ewyenper-Atwatye Camp (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","Hidden Valley (South Central NT SF53-14)",""
"XX115086","Yarrenyty-Arltere Camp (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX115087","Karnte Camp (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX118688","Tharrarltneme / Annie Meyer Hill (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","Annie Meyer Hill (South Central NT SF53-14)",""
"XX118689","Atnelkentyarliweke / Anzac Hill (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","Anzac Hill (South Central NT SF53-14)",""
"XX119896","Larapinta (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX126598","Corkwood Bore (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX126868","Keringke Rockhole (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX126914","Therirrerte (South Central NT SG53-02)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX131895","Whitegate Camp (Alice Springs South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX143989","Harry Creek (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX152834","Kwale Kwale (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX171875","Welatje-Terre (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","Welatye-Therre (South Central NT SF53-14)",""
"XX171876","Injalkaljanama (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","Injalkal Janama (South Central NT SF53-14);Intjalkelejaname (South Central NT SF53-14)",""
"XX174444","Honeymoon Gap (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX176623","Traeger Park (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX190448","Corroboree Rock (South Central NT SF53-14)","Alice Springs map area (South Central NT SF53-14)","","",""
"XX165","Birraduk (West Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX166","Cahills Crossing (West Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX167","Gunbalanya / Oenpelli (West Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","Oenpelli (West Arnhem Land NT SD53-01);Kunbarlanja (West Arnhem Land NT SD53-01)",""
"XX168","Inagurdurwil / Red Lily Lagoon (West Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","Red Lily Lagoon (West Arnhem Land NT SD53-01);Wulk Lagoon (West Arnhem Land NT SD53-01)",""
"XX169","Injalak / Unbalanja (West Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","Unbalanja (West Arnhem Land NT SD53-01)",""
"XX170","Jimeri / Tyimede (West Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","Tyimede (West Arnhem Land NT SD53-01)",""
"XX171","Kudjumarndi / Tin Camp Creek (West Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","Tin Camp Creek (West Arnhem Land NT SD53-01)",""
"XX172","Mikginj / Mikinj (West Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","Mikinj (West Arnhem Land NT SD53-01);Mikginj Valley (West Arnhem Land NT SD53-01)",""
"XX173","Myra Falls (West Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX174","Nimbuwa (West Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX175","Spring Peak (West Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX45466","Oenberna / Mount Borradaile (West Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","Mount Borradaile (West Arnhem Land NT SD53-01)",""
"XX45468","Nabarlek (West Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX50492","Baroalba (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX68324","Gunbilmurrung Gorge (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX103032","Djidbordu / Barron Island (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","Barron Island (NT SD53-01)",""
"XX103033","Gardangarl / Field Island (NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","Field Island (NT SD53-01)",""
"XX106626","Cooper Creek (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX110428","Gunbirdi (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX110430","Moses Cave (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX110431","Djarrng (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX110432","Anbarndarr (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX115010","Kaparlgoo (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX133974","Giinda / Ambarrawarra (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","Ambarrawarra (Arnhem Land NT SD53-01);Red Lilly (Arnhem Land NT SD53-01)",""
"XX133975","Hunters Camp / Kurrajong Flats (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","Kurrajong Flats (Arnhem Land NT SD53-01)",""
"XX133976","Mamukala (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX133977","Minggung (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX133982","Paradise Farm (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX133988","009 Outstation (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX134036","Manabadurma / Manaburduma (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","Manaburduma (Arnhem Land NT SD53-01);Manbudduma (Arnhem Land NT SD53-01)",""
"XX134049","Waidaboonar / Mudgigardent (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","Mudgigardent (Arnhem Land NT SD53-01)",""
"XX143948","Kunnanj / Fish Creek (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","Fish Creek (Arnhem Land NT SD53-01)",""
"XX183807","Ingaanjalwurr (Arnhem Land NT SD53-01)","Alligator River map area (Arnhem Land NT SD53-01)","","",""
"XX482","East Alligator River (Kakadu, NT SD53-01, SD53-05)","Alligator Rivers (Kakadu, NT SD53-01, SD53-05)","","Alligator River, East (Kakadu, NT SD53-01, SD53-05)",""
"XX483","South Alligator River (Kakadu, NT SD53-01, SD53-05)","Alligator Rivers (Kakadu, NT SD53-01, SD53-05)","","Alligator River, South (Kakadu, NT SD53-01, SD53-05)",""
"XX484","West Alligator River (Kakadu, NT SD53-01, SD53-05)","Alligator Rivers (Kakadu, NT SD53-01, SD53-05)","","Alligator River, West (Kakadu, NT SD53-01, SD53-05)",""
"XX642","Gulunurru / Alroy Downs (North NT SE53-12)","Alroy map area (North NT SE53-12)","","Alroy Downs (North NT SE53-12)",""
"XX2998","Lake Nitchie (SW NSW SI54-07)","Ana Branch map area (SW NSW SI54-07)","","Nitchie, Lake (SW NSW SI54-07)",""
"XX2999","Toora (SW NSW SI54-07)","Ana Branch map area (SW NSW SI54-07)","","",""
"XX100863","Tona (SW NSW SI54-07)","Ana Branch map area (SW NSW SI54-07)","","",""
"XX177658","Popiltah (SW NSW SI54-07)","Ana Branch map area (SW NSW SI54-07)","","",""
"XX1796","Andamooka (West SA SH53-12)","Andamooka map area (West SA SH53-12)","","",""
"XX103429","Eucolo Creek (West SA SH53-12)","Andamooka map area (West SA SH53-12)","","",""
"XX140800","Red Lake (West SA SH53-12)","Andamooka map area (West SA SH53-12)","","",""
"XX2724","Angledool (N NSW SH55-07)","Angledool map area (N NSW SH55-07)","","",""
"XX2725","Bokhara River (N NSW SH55-07, SW Qld SH55-03)","Angledool map area (N NSW SH55-07)","","",""
"XX2726","Coorigul Springs (N NSW SH55-07)","Angledool map area (N NSW SH55-07)","","",""
"XX2727","Cumborah (N NSW SH55-07)","Angledool map area (N NSW SH55-07)","","",""
"XX2728","Dungalear (N NSW SH55-07)","Angledool map area (N NSW SH55-07)","","",""
"XX2729","Gingie (N NSW SH55-07)","Angledool map area (N NSW SH55-07)","","",""
"XX2730","Goodooga (N NSW SH55-07)","Angledool map area (N NSW SH55-07)","","",""
"XX2731","Lightning Ridge (N NSW SH55-07)","Angledool map area (N NSW SH55-07)","","",""
"XX2732","Narran / Terewah Lake (N NSW SH55-07)","Angledool map area (N NSW SH55-07)","","Terewah Lake (N NSW SH55-07)",""
"XX2733","Narran River (N NSW SH55-07)","Angledool map area (N NSW SH55-07)","","",""
"XX2734","Tucki / Bangate (N NSW SH55-07)","Angledool map area (N NSW SH55-07)","","Bangate (N NSW SH55-07)",""
"XX2735","Wirrabilla (N NSW SH55-07)","Angledool map area (N NSW SH55-07)","","",""
"XX96604","Dunumbral (N NSW SH55-07)","Angledool map area (N NSW SH55-07)","","",""
"XX96906","Birrie River (N NSW SH55-07)","Angledool map area (N NSW SH55-07)","","",""
"XX99331","Kareelah (N NSW SH55-07)","Angledool map area (N NSW SH55-07)","","",""
"XX103445","Gooregal Spring (N NSW SH55-07)","Angledool map area (N NSW SH55-07)","","",""
"XX118526","Mogila (N NSW SH55-07)","Angledool map area (N NSW SH55-07)","","",""
"XX138853","Glengarry / Sheepyard (N NSW SH55-07)","Angledool map area (N NSW SH55-07)","","Sheepyard (N NSW SH55-07)",""
"XX191188","New Angledool (N NSW SH55-07)","Angledool map area (N NSW SH55-07)","","",""
"XX94311","Ashmore Reef (SC52, SC53)","Arafura Sea (SC52, SC53)","","",""
"XX92737","Stockyard Creek (NSW N Coast SH56-10)","Armidale map area (NSW N Coast SH56-10)","","",""
"XX105904","Stuarts Island (NSW N Coast SH56-10)","Armidale map area (NSW N Coast SH56-10)","","",""
"XX107658","Nambucca Heads (NSW N Coast SH56-10)","Armidale map area (NSW N Coast SH56-10)","","",""
"XX126702","Moonee Beach (NSW N Coast SH56-10)","Armidale map area (NSW N Coast SH56-10)","","",""
"XX137025","Eungai (NSW N Coast SH56-10)","Armidale map area (NSW N Coast SH56-10)","","Eungai Creek (NSW N Coast SH56-10);Unkya Creek (NSW N Coast SH56-10)",""
"XX140975","Hernani (NSW N Coast SH56-10)","Armidale map area (NSW N Coast SH56-10)","","",""
"XX141016","Tyringham (NSW N Coast SH56-10)","Armidale map area (NSW N Coast SH56-10)","","",""
"XX141017","Devils Chimney (NSW N Coast SH56-10)","Armidale map area (NSW N Coast SH56-10)","","",""
"XX141018","Wild Horse Creek (NSW N Coast SH56-10)","Armidale map area (NSW N Coast SH56-10)","","",""
"XX141020","Marengo (NSW N Coast SH56-10)","Armidale map area (NSW N Coast SH56-10)","","",""
"XX141351","Point Lookout (NSW N Coast SH56-10)","Armidale map area (NSW N Coast SH56-10)","","",""
"XX141353","Five Day Creek (NSW N Coast SH56-10)","Armidale map area (NSW N Coast SH56-10)","","",""
"XX141360","Bullock Creek (NSW N Coast SH56-10)","Armidale map area (NSW N Coast SH56-10)","","",""
"XX141532","Nymboida (NSW N Coast SH56-10)","Armidale map area (NSW N Coast SH56-10)","","",""
"XX142695","Middle Head (NSW N Coast SH56-10)","Armidale map area (NSW N Coast SH56-10)","","",""
"XX157007","Cabar Feidh (NSW N Coast SH56-10)","Armidale map area (NSW N Coast SH56-10)","","",""
"XX303","Arnhem Bay (East Arnhem Land NT SD53-03)","Arnhem Bay map area (East Arnhem Land NT SD53-03)","","",""
"XX304","Biranybirany (East Arnhem Land SD53-03)","Arnhem Bay map area (East Arnhem Land NT SD53-03)","","",""
"XX305","Castlereagh Bay (East Arnhem Land NT SD53-03)","Arnhem Bay map area (East Arnhem Land NT SD53-03)","","",""
"XX306","Dhalinybuy (East Arnhem Land NT SD53-03)","Arnhem Bay map area (East Arnhem Land NT SD53-03)","","",""
"XX307","Gapuwiyak / Lake Evella (East Arnhem Land SD53-03)","Arnhem Bay map area (East Arnhem Land NT SD53-03)","","Lake Evella (East Arnhem Land SD53-03);Evella, Lake (East Arnhem Land SD53-03)",""
"XX308","Gikal (East Arnhem Land SD53-03)","Arnhem Bay map area (East Arnhem Land NT SD53-03)","","",""
